Status Proposta;ID CONTRATO
Aberta;2087154
Aberta;2087386
Aberta;2087148
Aberta;2087086
Aberta;2086964
Finalizada;2086861
Finalizada;2087217
Aberta;2086820
Finalizada;2087189
Aberta;2086608
Aberta;2086503
Finalizada;2087142
Finalizada;2086073
Finalizada;2087061
Aberta;2087306
Finalizada;2087030
Aberta;2085752
Finalizada;2087229
Aberta;2085807
Finalizada;2087220
Finalizada;2087194
Aberta;2087171
Finalizada;2087152
Finalizada;2087131
Finalizada;2087245
Finalizada;2087241
Finalizada;2087047
Finalizada;2087012
Finalizada;2087183
Finalizada;2086988
Finalizada;2087174
Aberta;2086563
Finalizada;2087149
Aberta;2088884
Aberta;2088486
Finalizada;2087119
Finalizada;2088217
Finalizada;2087115
Finalizada;2087103
Finalizada;2087085
Finalizada;2087805
Finalizada;2087039
Finalizada;2087409
Finalizada;2088978
Finalizada;2087006
Aberta;2087875
Finalizada;2087001
Aberta;2087375
Finalizada;2088918
Finalizada;2086994
Finalizada;2088138
Finalizada;2086979
Finalizada;2087976
Aberta;2087251
Finalizada;2087216
Finalizada;2088944
Finalizada;2087145
Aberta;2087907
Finalizada;2088923
Finalizada;2087101
Finalizada;2089081
Finalizada;2087078
Finalizada;2089038
Finalizada;2087059
Aberta;2090320
Finalizada;2087040
Aberta;2091585
Finalizada;2087242
Finalizada;2087235
Finalizada;2087182
Finalizada;2087150
Finalizada;2093607
Finalizada;2087134
Finalizada;2087117
Finalizada;2087108
Finalizada;2087087
Finalizada;2087064
Finalizada;2093128
Finalizada;2087045
Finalizada;2087038
Aberta;2093053
Finalizada;2087014
Finalizada;2087005
Finalizada;2092926
Finalizada;2086996
Finalizada;2087222
Finalizada;2087143
Finalizada;2087130
Finalizada;2087094
Finalizada;2087066
Finalizada;2087058
Aberta;2087582
Aberta;2087520
Aberta;2087370
Aberta;2097801
Aberta;2087244
Aberta;2097688
Aberta;2087652
Finalizada;2097622
Aberta;2087587
Finalizada;2097592
Aberta;2087186
Finalizada;2097459
Aberta;2087218
Finalizada;2097255
Aberta;2087198
Aberta;2087190
Aberta;2087175
Aberta;2097165
Aberta;2087105
Finalizada;2097160
Aberta;2087042
Aberta;2087026
Finalizada;2097099
Aberta;2087129
Aberta;2097039
Aberta;2086925
Aberta;2086847
Finalizada;2096896
Aberta;2086764
Finalizada;2096860
Finalizada;2096793
Aberta;2086320
Finalizada;2096741
Aberta;2088539
Finalizada;2096688
Aberta;2089071
Finalizada;2096677
Aberta;2089042
Finalizada;2096565
Aberta;2089010
Finalizada;2096526
Aberta;2088969
Finalizada;2096331
Aberta;2088919
Finalizada;2096300
Finalizada;2096263
Aberta;2088557
Finalizada;2096221
Aberta;2088397
Aberta;2088162
Aberta;2096165
Finalizada;2089080
Finalizada;2096136
Finalizada;2089074
Aberta;2096122
Finalizada;2089072
Finalizada;2089067
Finalizada;2095966
Finalizada;2089058
Finalizada;2095945
Finalizada;2089048
Finalizada;2095901
Finalizada;2089035
Finalizada;2095861
Finalizada;2089021
Finalizada;2095855
Finalizada;2089012
Finalizada;2095850
Finalizada;2088997
Finalizada;2088993
Finalizada;2095770
Finalizada;2088991
Finalizada;2088981
Finalizada;2095736
Finalizada;2088971
Aberta;2095714
Finalizada;2088965
Finalizada;2095694
Finalizada;2088959
Finalizada;2087330
Finalizada;2088946
Finalizada;2095636
Finalizada;2088943
Aberta;2087278
Finalizada;2088936
Finalizada;2095331
Finalizada;2088908
Finalizada;2095300
Finalizada;2088896
Finalizada;2088744
Finalizada;2095085
Aberta;2088722
Finalizada;2088285
Finalizada;2088097
Aberta;2094928
Aberta;2088023
Finalizada;2094897
Aberta;2088945
Aberta;2094839
Aberta;2088304
Aberta;2094745
Finalizada;2089061
Finalizada;2094643
Finalizada;2089039
Finalizada;2094623
Finalizada;2088994
Finalizada;2094486
Aberta;2088930
Finalizada;2094393
Finalizada;2088836
Finalizada;2094378
Finalizada;2088535
Finalizada;2094249
Finalizada;2088301
Aberta;2094240
Aberta;2088181
Finalizada;2094233
Aberta;2088102
Finalizada;2094053
Finalizada;2089077
Aberta;2093935
Aberta;2093931
Finalizada;2089068
Finalizada;2093914
Finalizada;2089062
Finalizada;2089056
Finalizada;2089040
Aberta;2093672
Finalizada;2089034
Finalizada;2089019
Aberta;2093393
Finalizada;2089006
Aberta;2093374
Finalizada;2088995
Aberta;2093222
Finalizada;2088992
Finalizada;2087304
Finalizada;2088986
Finalizada;2088980
Finalizada;2092678
Finalizada;2088973
Aberta;2092624
Finalizada;2092363
Finalizada;2088964
Finalizada;2092208
Finalizada;2088954
Finalizada;2092040
Finalizada;2091977
Finalizada;2088939
Finalizada;2091873
Finalizada;2088932
Finalizada;2091851
Finalizada;2088703
Finalizada;2088405
Finalizada;2091790
Finalizada;2088087
Finalizada;2091647
Finalizada;2097768
Finalizada;2097759
Finalizada;2089059
Finalizada;2097733
Finalizada;2089014
Finalizada;2097534
Finalizada;2088987
Finalizada;2097362
Finalizada;2096947
Finalizada;2088914
Finalizada;2096777
Finalizada;2088489
Finalizada;2096772
Finalizada;2088435
Finalizada;2088092
Finalizada;2096654
Finalizada;2089076
Finalizada;2096567
Finalizada;2096344
Finalizada;2089060
Finalizada;2096292
Finalizada;2089026
Finalizada;2096188
Finalizada;2089013
Finalizada;2089005
Finalizada;2095839
Finalizada;2088983
Finalizada;2095764
Finalizada;2088972
Finalizada;2095762
Finalizada;2088960
Finalizada;2088953
Finalizada;2095620
Finalizada;2088852
Finalizada;2095477
Finalizada;2088699
Finalizada;2095445
Finalizada;2088404
Finalizada;2095374
Finalizada;2095356
Finalizada;2095351
Aberta;2091646
Aberta;2095241
Finalizada;2095217
Aberta;2091587
Finalizada;2095002
Finalizada;2094768
Aberta;2091752
Finalizada;2094612
Aberta;2091749
Finalizada;2094575
Finalizada;2094480
Finalizada;2091649
Finalizada;2094367
Finalizada;2087367
Aberta;2016541
Aberta;2094036
Aberta;2094035
Finalizada;2094127
Finalizada;2094049
Finalizada;2094034
Finalizada;2093888
Aberta;2094032
Finalizada;2093720
Finalizada;2094026
Finalizada;2093529
Finalizada;2094023
Finalizada;2093369
Finalizada;2094019
Finalizada;2093204
Finalizada;2094016
Finalizada;2093068
Finalizada;2092957
Finalizada;2094002
Aberta;2092713
Finalizada;2092605
Aberta;2093996
Finalizada;2092382
Aberta;2093994
Finalizada;2091970
Aberta;2093989
Finalizada;2091864
Aberta;2093988
Finalizada;2096262
Aberta;2093983
Aberta;2104158
Aberta;2104095
Aberta;2093980
Finalizada;2093971
Finalizada;2103992
Aberta;2093961
Aberta;2103897
Finalizada;2093923
Finalizada;2103870
Finalizada;2093875
Finalizada;2103799
Aberta;2093860
Finalizada;2103489
Finalizada;2093835
Finalizada;2103272
Aberta;2093826
Finalizada;2093698
Finalizada;2103005
Finalizada;2102954
Finalizada;2102634
Finalizada;2102558
Aberta;2088684
Finalizada;2102247
Aberta;2107325
Finalizada;2093900
Aberta;2106512
Aberta;2106450
Aberta;2108046
Aberta;2093843
Aberta;2107734
Aberta;2107711
Aberta;2110437
Aberta;2110411
Aberta;2110389
Finalizada;2093808
Finalizada;2110282
Finalizada;2110235
Finalizada;2110144
Finalizada;2093734
Finalizada;2110068
Aberta;2093732
Finalizada;2109789
Aberta;2093728
Finalizada;2109628
Finalizada;2093715
Finalizada;2108479
Finalizada;2107970
Finalizada;2093690
Finalizada;2107769
Aberta;2093679
Aberta;2110822
Finalizada;2093621
Aberta;2112052
Finalizada;2093599
Aberta;2111878
Aberta;2111396
Aberta;2111179
Aberta;2110569
Aberta;2112287
Finalizada;2112284
Aberta;2112242
Finalizada;2111936
Finalizada;2111772
Finalizada;2093486
Aberta;2093484
Finalizada;2111716
Finalizada;2111150
Finalizada;2113757
Aberta;2113070
Finalizada;2114322
Finalizada;2114313
Finalizada;2093435
Finalizada;2113705
Finalizada;2113528
Aberta;2093415
Finalizada;2113478
Aberta;2116110
Aberta;2116075
Aberta;2116028
Aberta;2115939
Finalizada;2093245
Finalizada;2116040
Finalizada;2115981
Aberta;2116759
Aberta;2116449
Aberta;2093144
Aberta;2118412
Aberta;2118297
Aberta;2117984
Aberta;2119968
Aberta;2120820
Aberta;2120729
Aberta;2120036
Finalizada;2119934
Aberta;2092880
Finalizada;2119587
Aberta;2092858
Aberta;2119256
Finalizada;2119154
Aberta;2118774
Aberta;2121141
Aberta;2119690
Aberta;2121294
Aberta;2121593
Finalizada;2123555
Finalizada;2123554
Finalizada;2123498
Finalizada;2123396
Finalizada;2123377
Finalizada;2123367
Finalizada;2123332
Finalizada;2123267
Aberta;2123243
Aberta;2092463
Finalizada;2123034
Finalizada;2122291
Aberta;2092355
Aberta;2123453
Aberta;2123131
Aberta;2092321
Finalizada;2122503
Finalizada;2122493
Aberta;2092212
Finalizada;2123728
Aberta;2092103
Aberta;2124582
Aberta;2123642
Finalizada;2126044
Finalizada;2125738
Aberta;2124296
Aberta;2091910
Finalizada;2123590
Aberta;2126392
Aberta;2127450
Aberta;2126564
Aberta;2129265
Aberta;2129244
Aberta;2091692
Aberta;2129153
Aberta;2129101
Aberta;2129059
Aberta;2129006
Aberta;2129255
Aberta;2129237
Finalizada;2129199
Aberta;2129183
Aberta;2097808
Aberta;2129107
Aberta;2097806
Aberta;2129047
Aberta;2097803
Aberta;2129043
Aberta;2097802
Finalizada;2129039
Aberta;2129014
Aberta;2097798
